time=2000, port=1, receive=0

time=2004, port=1, receive=0

time=2014, port=1, receive=1

time=2024, port=1, receive=0

time=2034, port=1, receive=0

time=2044, port=1, receive=0

time=2054, port=1, receive=0

time=2064, port=1, receive=0

time=2074, port=1, receive=0

time=2084, port=1, receive=0

time=2094, port=1, receive=1

time=2104, port=1, receive=0

time=2114, port=1, receive=0

time=2124, port=1, receive=0

time=2134, port=1, receive=0

time=2144, port=1, receive=0

time=2154, port=1, receive=0

time=2164, port=1, receive=1

time=2174, port=1, receive=0

time=2184, port=1, receive=0

time=2194, port=1, receive=0

time=2204, port=1, receive=0

time=2214, port=1, receive=0

time=2224, port=1, receive=1

time=2234, port=1, receive=1

time=2244, port=1, receive=1

time=2254, port=1, receive=1

time=2264, port=1, receive=1

time=2274, port=1, receive=1

time=2284, port=1, receive=1

time=2294, port=1, receive=1

time=2304, port=1, receive=0

time=2314, port=1, receive=0

time=2324, port=1, receive=0

time=2334, port=1, receive=1

time=2344, port=1, receive=1

time=2354, port=1, receive=1

time=2364, port=1, receive=1

time=2374, port=1, receive=0

time=2384, port=1, receive=1

time=2394, port=1, receive=1

time=2404, port=1, receive=1

time=2414, port=1, receive=1

time=2424, port=1, receive=null, cause=data_ended

time=2425, port=1, receive=1

time=2435, port=1, receive=1

time=2445, port=1, receive=0

time=2455, port=1, receive=0

time=2465, port=1, receive=0

time=2475, port=1, receive=1

time=2485, port=1, receive=0

time=2495, port=1, receive=1

time=2505, port=1, receive=1

time=2515, port=1, receive=1

time=2525, port=1, receive=0

time=2535, port=1, receive=1

time=2545, port=1, receive=0

time=2555, port=1, receive=1

time=2565, port=1, receive=1

time=2575, port=1, receive=0

time=2585, port=1, receive=1

time=2595, port=1, receive=1

time=2605, port=1, receive=1

time=2615, port=1, receive=1

time=2625, port=1, receive=0

time=2635, port=1, receive=0

time=2645, port=1, receive=1

time=2655, port=1, receive=0

time=2665, port=1, receive=1

time=2675, port=1, receive=1

time=2685, port=1, receive=0

time=2695, port=1, receive=1

time=2705, port=1, receive=0

time=2715, port=1, receive=0

time=2725, port=1, receive=1

time=2735, port=1, receive=0

time=2745, port=1, receive=0

time=2755, port=1, receive=0

time=2765, port=1, receive=0

time=2775, port=1, receive=0

time=2785, port=1, receive=0

time=2795, port=1, receive=0

time=2805, port=1, receive=1

time=2815, port=1, receive=0

time=2825, port=1, receive=0

time=2835, port=1, receive=0

time=2845, port=1, receive=0

time=2855, port=1, receive=0

time=2865, port=1, receive=0

time=2875, port=1, receive=0

time=2885, port=1, receive=1

time=2895, port=1, receive=0

time=2905, port=1, receive=0

time=2915, port=1, receive=1

time=2925, port=1, receive=0

time=2935, port=1, receive=1

time=2945, port=1, receive=0

time=2955, port=1, receive=1

time=2965, port=1, receive=0

time=2975, port=1, receive=1

time=2985, port=1, receive=0

time=2995, port=1, receive=1

time=3005, port=1, receive=0

time=3015, port=1, receive=1

time=3025, port=1, receive=0

time=3035, port=1, receive=1

time=3045, port=1, receive=0

time=3055, port=1, receive=1

time=3065, port=1, receive=1

time=3075, port=1, receive=1

time=3085, port=1, receive=1

time=3095, port=1, receive=1

time=3105, port=1, receive=1

time=3115, port=1, receive=0

time=3125, port=1, receive=1

time=3135, port=1, receive=1

time=3145, port=1, receive=0

time=3155, port=1, receive=0

time=3165, port=1, receive=0

time=3175, port=1, receive=1

time=3185, port=1, receive=1

time=3195, port=1, receive=0

time=3205, port=1, receive=1

time=3215, port=1, receive=0

time=3225, port=1, receive=null, cause=data_ended

time=3482, port=1, receive=1

time=3492, port=1, receive=1

time=3502, port=1, receive=0

time=3512, port=1, receive=0

time=3522, port=1, receive=0

time=3532, port=1, receive=1

time=3542, port=1, receive=0

time=3552, port=1, receive=1

time=3562, port=1, receive=1

time=3572, port=1, receive=1

time=3582, port=1, receive=0

time=3592, port=1, receive=1

time=3602, port=1, receive=0

time=3612, port=1, receive=1

time=3622, port=1, receive=1

time=3632, port=1, receive=0

time=3642, port=1, receive=1

time=3652, port=1, receive=1

time=3662, port=1, receive=1

time=3672, port=1, receive=1

time=3682, port=1, receive=0

time=3692, port=1, receive=0

time=3702, port=1, receive=1

time=3712, port=1, receive=0

time=3722, port=1, receive=1

time=3732, port=1, receive=1

time=3742, port=1, receive=0

time=3752, port=1, receive=1

time=3762, port=1, receive=0

time=3772, port=1, receive=0

time=3782, port=1, receive=1

time=3792, port=1, receive=0

time=3802, port=1, receive=0

time=3812, port=1, receive=0

time=3822, port=1, receive=0

time=3832, port=1, receive=0

time=3842, port=1, receive=0

time=3852, port=1, receive=1

time=3862, port=1, receive=0

time=3872, port=1, receive=0

time=3882, port=1, receive=0

time=3892, port=1, receive=0

time=3902, port=1, receive=0

time=3912, port=1, receive=0

time=3922, port=1, receive=0

time=3932, port=1, receive=0

time=3942, port=1, receive=1

time=3952, port=1, receive=0

time=3962, port=1, receive=0

time=3972, port=1, receive=1

time=3982, port=1, receive=1

time=3992, port=1, receive=0

time=4000, port=1, send=1, transmission==incomplete, cause=collision

time=4002, port=1, receive=0

time=4010, port=1, send=1, transmission==incomplete, cause=collision

time=4012, port=1, receive=1

time=4020, port=1, send=1, transmission==incomplete, cause=collision

time=4022, port=1, receive=1

time=4030, port=1, send=1, transmission==incomplete, cause=collision

time=4032, port=1, receive=0

time=4040, port=1, send=1, transmission==incomplete, cause=collision

time=4042, port=1, receive=0

time=4050, port=1, send=1, transmission==incomplete, cause=collision

time=4052, port=1, receive=1

time=4060, port=1, send=1, transmission==incomplete, cause=collision

time=4062, port=1, receive=1

time=4070, port=1, send=1, transmission==incomplete, cause=collision

time=4072, port=1, receive=0

time=4080, port=1, send=1, transmission==incomplete, cause=collision

time=4082, port=1, receive=0

time=4090, port=1, send=1, transmission==incomplete, cause=collision

time=4092, port=1, receive=1

time=4100, port=1, send=1, transmission==incomplete, cause=collision

time=4102, port=1, receive=1

time=4110, port=1, send=1, transmission==incomplete, cause=collision

time=4112, port=1, receive=0

time=4120, port=1, send=1, transmission==incomplete, cause=collision

time=4122, port=1, receive=0

time=4130, port=1, send=1, transmission==incomplete, cause=collision

time=4132, port=1, receive=1

time=4140, port=1, send=1, transmission==incomplete, cause=collision

time=4142, port=1, receive=1

time=4150, port=1, send=1, transmission==incomplete, cause=collision

time=4152, port=1, receive=1

time=4160, port=1, send=1, transmission==incomplete, cause=collision

time=4162, port=1, receive=0

time=4170, port=1, send=1, transmission==incomplete, cause=collision

time=4172, port=1, receive=1

time=4180, port=1, send=1, transmission==incomplete, cause=collision

time=4182, port=1, receive=1

time=4190, port=1, send=1, transmission==incomplete, cause=collision

time=4192, port=1, receive=1

time=4200, port=1, send=1, transmission==incomplete, cause=collision

time=4202, port=1, receive=0

time=4210, port=1, send=1, transmission==incomplete, cause=collision

time=4212, port=1, receive=1

time=4220, port=1, send=1, transmission==incomplete, cause=collision

time=4222, port=1, receive=1

time=4230, port=1, send=1, transmission==incomplete, cause=collision

time=4232, port=1, receive=1

time=4240, port=1, send=1, transmission==incomplete, cause=collision

time=4242, port=1, receive=0

time=4250, port=1, send=1, transmission==incomplete, cause=collision

time=4252, port=1, receive=1

time=4260, port=1, send=1, transmission==incomplete, cause=collision

time=4262, port=1, receive=1

time=4270, port=1, send=1, transmission==incomplete, cause=collision

time=4272, port=1, receive=1

time=4280, port=1, send=1, transmission==incomplete, cause=collision

time=4282, port=1, receive=1

time=4290, port=1, send=1, transmission==incomplete, cause=collision

time=4292, port=1, receive=1

time=4300, port=1, send=1, transmission==incomplete, cause=collision

time=4302, port=1, receive=0

time=4310, port=1, send=1, transmission==incomplete, cause=collision

time=4312, port=1, receive=0

time=4320, port=1, send=1, transmission==incomplete, cause=collision

time=4322, port=1, receive=1

time=4330, port=1, send=1, transmission==incomplete, cause=collision

time=4332, port=1, receive=0

time=4340, port=1, send=1, transmission==incomplete, cause=collision

time=4342, port=1, receive=0

time=4350, port=1, send=1, transmission==incomplete, cause=collision

time=4352, port=1, receive=0

time=4360, port=1, send=1, transmission==incomplete, cause=collision

time=4362, port=1, receive=0

time=4370, port=1, send=1, transmission==incomplete, cause=collision

time=4372, port=1, receive=0

time=4380, port=1, send=1, transmission==incomplete, cause=collision

time=4382, port=1, receive=1

